,Hash,Total,Positives,Link,Extension
72,514e2aa45bf1034dc54acfbaa0390998a16bae0286159d6a152a71922478dee3,68,0,https://www.virustotal.com/gui/file/514e2aa45bf1034dc54acfbaa0390998a16bae0286159d6a152a71922478dee3/detection/f-514e2aa45bf1034dc54acfbaa0390998a16bae0286159d6a152a71922478dee3-1629184130,exe
73,6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73,69,0,https://www.virustotal.com/gui/file/6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73/detection/f-6e4849e0d92ae82380bf4bb6773a1ff27863038838a021ccade723e2adab5d73-1629184135,exe
74,9578342358ff79b911163d709a9dc19cad65102a33405db7f97d6f26322866bd,69,0,https://www.virustotal.com/gui/file/9578342358ff79b911163d709a9dc19cad65102a33405db7f97d6f26322866bd/detection/f-9578342358ff79b911163d709a9dc19cad65102a33405db7f97d6f26322866bd-1629184140,exe
75,f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9,69,0,https://www.virustotal.com/gui/file/f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9/detection/f-f9ed0155b6015f11ff8036c67adecc85fc6ae1256420cc0564a15f452d124cc9-1625035295,
76,0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af,69,0,https://www.virustotal.com/gui/file/0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af/detection/f-0be00b72a65e558aa92a4f197663f3496b2a3ceaa5f77bafe309727141ad77af-1625035297,exe
77,464262da62722cf9540fa2bff1c93b65c83254cb5be47272593d71adc31daa79,49,0,https://www.virustotal.com/gui/file/464262da62722cf9540fa2bff1c93b65c83254cb5be47272593d71adc31daa79/detection/f-464262da62722cf9540fa2bff1c93b65c83254cb5be47272593d71adc31daa79-1629184145,exe
78,86d5e2c5f6d63b1cee922999a4efbb30f0ec16577e1a2df9ea31eea826b723d7,66,0,https://www.virustotal.com/gui/file/86d5e2c5f6d63b1cee922999a4efbb30f0ec16577e1a2df9ea31eea826b723d7/detection/f-86d5e2c5f6d63b1cee922999a4efbb30f0ec16577e1a2df9ea31eea826b723d7-1629183641,exe
79,9d9742a07c77cdccd8c2b6ee17f2855a1479081e1f356073c6df9f749209b77f,68,0,https://www.virustotal.com/gui/file/9d9742a07c77cdccd8c2b6ee17f2855a1479081e1f356073c6df9f749209b77f/detection/f-9d9742a07c77cdccd8c2b6ee17f2855a1479081e1f356073c6df9f749209b77f-1629184151,exe
80,0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b,68,0,https://www.virustotal.com/gui/file/0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b/detection/f-0bf9cfc88d56b52982655b56d577f69d2ee4b136908684015001c52c64f0a84b-1633323708,exe
81,8e7eac5013699d34af9b001e61be38b410d98ef661ad11af37b356606eb63799,68,0,https://www.virustotal.com/gui/file/8e7eac5013699d34af9b001e61be38b410d98ef661ad11af37b356606eb63799/detection/f-8e7eac5013699d34af9b001e61be38b410d98ef661ad11af37b356606eb63799-1629184162,exe
82,346fb6819d138bee09beb553c8ea03c46418f963acae909997e365c07e0d6519,67,0,https://www.virustotal.com/gui/file/346fb6819d138bee09beb553c8ea03c46418f963acae909997e365c07e0d6519/detection/f-346fb6819d138bee09beb553c8ea03c46418f963acae909997e365c07e0d6519-1629184168,exe
83,65c24eabb20e0686667eb20ceb2bffd985aa966352630ba549ddd15a1df20ab7,68,0,https://www.virustotal.com/gui/file/65c24eabb20e0686667eb20ceb2bffd985aa966352630ba549ddd15a1df20ab7/detection/f-65c24eabb20e0686667eb20ceb2bffd985aa966352630ba549ddd15a1df20ab7-1629184173,exe
84,734db8a127eba3f56ceacddf8d784fb4c6ff0d9524eaf0d2f75acd698ef9084c,68,0,https://www.virustotal.com/gui/file/734db8a127eba3f56ceacddf8d784fb4c6ff0d9524eaf0d2f75acd698ef9084c/detection/f-734db8a127eba3f56ceacddf8d784fb4c6ff0d9524eaf0d2f75acd698ef9084c-1629184179,exe
