,file type,hash(SHA256),Vt_link,File_Exten
88,"RFC 822 mail, ASCII text, with CRLF, LF line terminators",63c7fa0c9ac46c1071f2883c3ce018b28e6ff14fe7eb3f6b5ac7fcd0f4059582,https://www.virustotal.com/gui/file/63c7fa0c9ac46c1071f2883c3ce018b28e6ff14fe7eb3f6b5ac7fcd0f4059582,Email
89,"DOS/MBR boot sector; partition 1 : ID=0x1b, start-CHS (0x0,1,1), end-CHS (0x3fa,254,63), startsector 63, 16370172 sectors; partition 2 : ID=0x7, active, start-CHS (0x3fb,0,1), end-CHS (0x3ff,254,63), startsector 16370235, 100823940 sectors",a9c8fe0da9473001c61261616a6ccd2f67eec9e50594f34b4ccdab1d129b0040,https://www.virustotal.com/gui/file/a9c8fe0da9473001c61261616a6ccd2f67eec9e50594f34b4ccdab1d129b0040,unknown
90,"DOS/MBR boot sector MS-MBR, disk signature 0xf0774c99",523a117d8b37af9d439a9361825f17bff8618b1ce3b9ee701b419965ad2d1016,https://www.virustotal.com/gui/file/523a117d8b37af9d439a9361825f17bff8618b1ce3b9ee701b419965ad2d1016,unknown
91,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 143363997 sectors; partition 2 : ID=0xf, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 143364060, 12916260 sectors",1ca428eaefd71c2ffe44eba75bc76c89f88cad8f78e591ea736c42381b70c4b1,https://www.virustotal.com/gui/file/1ca428eaefd71c2ffe44eba75bc76c89f88cad8f78e591ea736c42381b70c4b1,unknown
92,"HTML document, ASCII text, with very long lines, with no line terminators",1db2f8e5ab43124c9508f2dfe315e1ad99e71b03525100b05fbab1d54252ce37,https://www.virustotal.com/gui/file/1db2f8e5ab43124c9508f2dfe315e1ad99e71b03525100b05fbab1d54252ce37,Text
93,"DOS/MBR boot sector, code offset 0x3c+2, OEM-ID "">PUTRID<"", root entries 224, sectors 2880 (volumes <=32 MB) , sectors/FAT 9, sectors/track 18, serial number 0x9821e6eb, unlabeled, FAT (12 bit)",afc9c786d1aa258e4e97fc200a15cfa32e407a82a43aadebd55aa1b0498b017a,https://www.virustotal.com/gui/file/afc9c786d1aa258e4e97fc200a15cfa32e407a82a43aadebd55aa1b0498b017a,unknown
94,"DOS/MBR boot sector MS-MBR, disk signature 0xa8d34966; partition 1 : ID=0x27, start-CHS (0x0,32,33), end-CHS (0x3ff,254,63), startsector 2048, 20480000 sectors; partition 2 : ID=0x7, active, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 20482048, 233969664 sectors; partition 3 : ID=0x7, start-CHS (0x3ff,254,63), end-CHS (0x3ff,254,63), startsector 254451712, 233943040 sectors",8a2030b3145aa57bed24803b7f0da02c6f8722b9ce38530596d1dd2fcc600e42,https://www.virustotal.com/gui/file/8a2030b3145aa57bed24803b7f0da02c6f8722b9ce38530596d1dd2fcc600e42,unknown
95,"8086 relocatable (Microsoft), ""C:\VIR\SOURCE\CTINY-C.ASM""",fc5920bb14d237f1d3805757ea193293f95a30804088524c6052dff641842b85,https://www.virustotal.com/gui/file/fc5920bb14d237f1d3805757ea193293f95a30804088524c6052dff641842b85,unknown
96,"ISO-8859 text, with very long lines, with CRLF, CR, LF line terminators",239c10d38ecfab9d86c527c696fef28e7fc285f5a7d54ac5c0550e970e86fede,https://www.virustotal.com/gui/file/239c10d38ecfab9d86c527c696fef28e7fc285f5a7d54ac5c0550e970e86fede,Text
97,"DOS/MBR boot sector; partition 1 : ID=0x7, active, start-CHS (0x0,1,1), end-CHS (0x3ff,254,63), startsector 63, 78220422 sectors",4724987fec8c89bf32b3f4859686c3fc26614dbd7cdfc4540864d4cb58361084,https://www.virustotal.com/gui/file/4724987fec8c89bf32b3f4859686c3fc26614dbd7cdfc4540864d4cb58361084,unknown
